CODE,HEX,DESCRIPTION
CE-107046-8,0x809E0301,SCE_ABSTRACTSTORAGE_ERROR_ABORT
CE-107022-2,0x809E0003,SCE_ABSTRACTSTORAGE_ERROR_ALREADY
CE-107028-8,0x809E0201,SCE_ABSTRACTSTORAGE_ERROR_GET_ACCESSTOKEN
CE-107039-0,0x809E020C,SCE_ABSTRACTSTORAGE_ERROR_GET_CONTENT_ID
CE-107031-2,0x809E0204,SCE_ABSTRACTSTORAGE_ERROR_GET_LOCATION
CE-107040-2,0x809E020D,SCE_ABSTRACTSTORAGE_ERROR_GET_PROPERTIES
CE-107033-4,0x809E0206,SCE_ABSTRACTSTORAGE_ERROR_GET_RANGE
CE-107032-3,0x809E0205,SCE_ABSTRACTSTORAGE_ERROR_GET_SESSIONID
CE-107029-9,0x809E0202,SCE_ABSTRACTSTORAGE_ERROR_HTTP
CE-107047-9,0x809E1308,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_308_PERMANENT_REDIRECT
CE-107048-0,0x809E1400,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_400_BAD_REQUEST
CE-107049-1,0x809E1401,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_401_UNAUTHORIZED
CE-107050-3,0x809E1402,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_402_PAYMENT_REQUIRED
CE-107051-4,0x809E1403,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_403_FORBIDDEN
CE-107042-4,0x809E020F,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_403_FORBIDDEN_DAILYMOTION
CE-107052-5,0x809E1404,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_404_NOT_FOUND
CE-107053-6,0x809E1405,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_405_METHOD_NOT_ALLOWED
CE-107054-7,0x809E1406,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_406_NOT_ACCEPTABLE
CE-107055-8,0x809E1407,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_407_PROXY_AUTHENTICATION_REQUIRED
CE-107056-9,0x809E1408,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_408_REQUEST_TIMEOUT
CE-107057-0,0x809E1409,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_409_CONFLICT
CE-107058-1,0x809E140A,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_410_GONE
CE-107059-2,0x809E140B,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_411_LENGTH_REQUIRED
CE-107060-4,0x809E140C,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_412_PRECONDITION_FAILED
CE-107061-5,0x809E140D,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_413_REQUEST_ENTITY_TOO_LARGE
CE-107062-6,0x809E140E,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_414_REQUEST_URI_TOO_LONG
CE-107063-7,0x809E140F,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_415_UNSUPPORTED_MEDIA_TYPE
CE-107064-8,0x809E1410,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_416_REQUESTED_RANGE_NOT_SATISFIABLE
CE-107065-9,0x809E1411,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_417_EXPECTATION_FAILED
CE-107066-0,0x809E1412,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_418_I_M_A_TEAPOT
CE-107067-1,0x809E1413,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_419_AUTHENTICATION_TIMEOUT
CE-107068-2,0x809E1414,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_420_METHOD_FAILURE_ENHANCE_YOUR_CALM
CE-107069-3,0x809E1415,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_422_UNPROCESSABLE_ENTITY
CE-107070-5,0x809E1416,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_423_LOCKED
CE-107071-6,0x809E1417,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_424_FAILED_DEPENDENCY
CE-107072-7,0x809E1418,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_425_METHOD_FAILURE
CE-107073-8,0x809E1419,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_426_UNORDERED_COLLECTION
CE-107074-9,0x809E141A,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_427_UPGRADE_REQUIRED
CE-107075-0,0x809E141B,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_428_PRECONDITION_REQUIRED
CE-107076-1,0x809E141C,SCE_ABSTRACTSTORAGE_ERROR_HTTP_STATUS_CODE_429_TOO_MANY_REQUESTS
